Gene_IDs	Gene_Names	log2FoldChange	pvalue	padj
ENSG00000066923	STAG3	4.007861016	2.90E-04	0.002352129
ENSG00000051620	HEBP2	4.004673315	9.76E-05	0.000951849
ENSG00000146373	RNF217	4.002403233	7.15E-04	0.00501113
ENSG00000241860	RP11-34P13.13	4.002099713	1.26E-05	0.000166137
ENSG00000167657	DAPK3	-2.009301804	4.54E-04	0.003438786
ENSG00000002330	BAD	-2.018057417	6.19E-07	1.25E-05
ENSG00000204323	SMIM5	-2.019708516	6.63E-13	5.37E-11
ENSG00000184113	CLDN5	-2.022855263	5.05E-04	0.00373008
ENSG00000167705	RILP	-2.062469029	2.46E-06	4.17E-05
ENSG00000160013	PTGIR	-2.063414927	7.56E-08	2.06E-06
ENSG00000144560	VGLL4	-2.068532657	1.46E-07	3.58E-06
ENSG00000182551	ADI1	-2.093009604	6.45E-17	1.00E-14
ENSG00000136490	LIMD2	-2.096382548	1.60E-03	0.009653028
ENSG00000204525	HLA-C	-2.106928501	2.12E-12	1.51E-10
ENSG00000104518	GSDMD	-2.143470424	2.43E-05	0.000292347
ENSG00000161677	JOSD2	-2.148091916	1.03E-03	0.006724583
ENSG00000147443	DOK2	-2.179279593	2.41E-18	4.47E-16
ENSG00000204590	GNL1	-2.1972431	1.69E-06	3.00E-05
ENSG00000146094	DOK3	-2.304493415	5.53E-05	0.000594576
ENSG00000159884	CCDC107	-2.306950804	2.87E-04	0.002335126
ENSG00000260661	RP11-152L20.3	-2.347211758	2.61E-07	5.92E-06
ENSG00000126254	RBM42	-2.367380025	5.95E-05	0.000635659
ENSG00000172725	CORO1B	-2.381033742	8.13E-05	0.000817976
ENSG00000088325	TPX2	-2.391245937	1.03E-03	0.006724583
ENSG00000140983	RHOT2	-2.393246344	1.00E-04	0.00097111
ENSG00000146540	CHLSN	-2.457426851	2.83E-08	8.39E-07
ENSG00000272373	ZNF33B	-2.46322141	8.88E-04	0.005976346
ENSG00000110011	DNAJC4	-2.503709255	3.90E-14	4.09E-12
ENSG00000232533	FAM131B-AS2	-2.532918889	2.05E-05	0.000252916
ENSG00000071889	FAM3A	-2.693500675	1.95E-06	3.39E-05
ENSG00000107796	ACTA2	-2.785500153	1.00E-03	0.006600347
ENSG00000196843	ARID5A	-2.962307181	1.57E-05	0.000200507
ENSG00000181409	AATK	-2.987783182	2.02E-07	4.74E-06
ENSG00000181031	RPH3AL	-3.057468971	1.64E-04	0.001460956
ENSG00000231437	LINC01750	-3.119012933	1.12E-06	2.07E-05
ENSG00000172889	EGFL7	-3.141528364	3.76E-16	5.33E-14
ENSG00000117318	ID3	-3.717856553	8.93E-05	0.00088453
ENSG00000243491	RP11-521D12.5	-3.744958336	6.09E-09	2.18E-07
